Gene name	Module
AT1G03680	Turquoise
AT1G03687	Royalblue
AT1G03700	Brown
AT1G03710	Salmon
AT1G03720	Cyan
AT1G03730	Red
AT1G03740	Green
AT1G03743	Midnightblue
AT1G03746	Midnightblue
AT1G03750	Grey
AT1G03760	Yellow
AT1G03770	Salmon
AT1G03780	Blue
AT1G03790	Darkred
AT1G03800	Cyan
AT1G03810	Black
AT1G03820	Grey
AT1G03830	Yellow
AT1G03840	Brown
AT1G03850	Green
AT1G03860	Yellow
AT1G03870	Grey
AT1G03880	Darkred
AT1G03890	Darkred
AT1G03900	Red
AT1G03905	Grey
AT1G03910	Yellow
AT1G03920	Pink
AT1G03930	Turquoise
AT1G03935	Grey
AT1G03940	Red
AT1G03950	Green
AT1G03960	Grey
AT1G03970	Red
AT1G03980	Red
AT1G03990	Grey
AT1G04000	Tan
AT1G04010	Grey
AT1G04020	Blue
AT1G04030	Blue
AT1G04040	Grey
AT1G04050	Blue
AT1G04070	Yellow
AT1G04080	Greenyellow
AT1G04090	Lightcyan
AT1G04100	Grey
AT1G04110	Purple
AT1G04120	Grey
AT1G04130	Salmon
AT1G04140	Green
AT1G04150	Salmon
AT1G04160	Blue
AT1G04170	Greenyellow
AT1G04180	Brown
AT1G04190	Yellow
AT1G04200	Tan
AT1G04210	Yellow
AT1G04220	Pink
AT1G04230	Salmon
AT1G04240	Turquoise
AT1G04250	Grey
AT1G04260	Salmon
AT1G04270	Greenyellow
AT1G04280	Green
AT1G04290	Grey
AT1G04295	Turquoise
AT1G04300	Green
AT1G04310	Salmon
AT1G04330	Grey
AT1G04340	Greenyellow
AT1G04350	Turquoise
AT1G04360	Brown
AT1G04370	Grey
AT1G04380	Pink
AT1G04390	Grey
AT1G04400	Turquoise
AT1G04410	Greenyellow
AT1G04420	Turquoise
AT1G04425	Blue
AT1G04430	Grey
AT1G04440	Red
AT1G04445	Tan
AT1G04450	Magenta
AT1G04457	Darkturquoise
AT1G04470	Magenta
AT1G04480	Greenyellow
AT1G04490	Red
AT1G04500	Lightgreen
AT1G04510	Yellow
AT1G04520	Blue
AT1G04530	Turquoise
AT1G04540	Magenta
AT1G04550	Blue
AT1G04555	Salmon
AT1G04560	Darkred
AT1G04570	Tan
AT1G04580	Pink
AT1G04590	Yellow
AT1G04600	Magenta
AT1G04610	Brown
AT1G04620	Turquoise
AT1G04625	Grey
AT1G04630	Greenyellow
AT1G04635	Yellow
AT1G04640	Turquoise
AT1G04645	Tan
AT1G04650	Blue
AT1G04660	Pink
AT1G04670	Lightcyan
AT1G04680	Blue
AT1G04690	Greenyellow
AT1G04700	Magenta
AT1G04710	Purple
AT1G04730	Blue
AT1G04750	Greenyellow
AT1G04760	Blue
AT1G04770	Grey
AT1G04778	Grey
AT1G04780	Red
AT1G04790	Grey
AT1G04800	Purple
AT1G04810	Yellow
AT1G04820	Blue
AT1G04830	Red
AT1G04840	Yellow
AT1G04850	Greenyellow
AT1G04860	Green
AT1G04870	Yellow
AT1G04880	Black
AT1G04890	Magenta
AT1G04900	Yellow
AT1G04910	Grey
AT1G04920	Lightcyan
AT1G04930	Black
AT1G04940	Purple
AT1G04945	Royalblue
AT1G04950	Grey
AT1G04960	Red
AT1G04970	Red
AT1G04980	Grey
AT1G04985	Turquoise
AT1G04990	Grey
AT1G05000	Lightgreen
AT1G05010	Green
AT1G05020	Lightyellow
AT1G05030	Turquoise
AT1G05040	Darkgrey
AT1G05055	Yellow
AT1G05060	Red
AT1G05061	Yellow
AT1G05065	Purple
AT1G05070	Turquoise
AT1G05080	Black
AT1G05085	Darkturquoise
AT1G05090	Grey
AT1G05100	Red
AT1G05120	Salmon
AT1G05135	Turquoise
AT1G05136	Grey
AT1G05140	Turquoise
AT1G05150	Blue
AT1G05160	Pink
AT1G05170	Grey
AT1G05180	Yellow
AT1G05190	Turquoise
AT1G05200	Turquoise
AT1G05205	Greenyellow
AT1G05210	Blue
AT1G05220	Pink
AT1G05230	Purple
AT1G05240	Brown
AT1G05250	Brown
AT1G05260	Pink
AT1G05270	Grey
AT1G05280	Pink
AT1G05290	Darkgrey
AT1G05291	Tan
AT1G05300	Green
AT1G05310	Turquoise
AT1G05320	Grey
AT1G05330	Black
AT1G05340	Red
AT1G05350	Grey
AT1G05360	Blue
AT1G05370	Blue
AT1G05380	Grey
AT1G05385	Turquoise
AT1G05400	Grey
AT1G05410	Pink
AT1G05420	Blue
AT1G05430	Grey
AT1G05440	Blue
AT1G05450	Steelblue
AT1G05460	Blue
AT1G05470	Blue
AT1G05490	Salmon
AT1G05500	Grey
AT1G05510	Darkred
AT1G05520	Brown
AT1G05530	Brown
AT1G05540	Blue
AT1G05550	Cyan
AT1G05560	Turquoise
AT1G05562	Turquoise
AT1G05570	Green
AT1G05575	Green
AT1G05577	Lightcyan
AT1G05580	Magenta
AT1G05590	Blue
AT1G05600	Grey
AT1G05610	Grey
AT1G05620	Brown
AT1G05630	Blue
AT1G05640	Blue
AT1G05650	Brown
AT1G05660	Brown
AT1G05670	Yellow
AT1G05675	Green
AT1G05680	Grey
AT1G05690	Turquoise
AT1G05700	Brown
AT1G05710	Salmon
AT1G05720	Tan
AT1G05730	Yellow
AT1G05740	Black
AT1G05750	Royalblue
AT1G05760	Grey
AT1G05770	Grey
AT1G05780	Grey
AT1G05785	Red
AT1G05790	Red
AT1G05800	Red
AT1G05805	Green
AT1G05810	Grey
AT1G05820	Magenta
AT1G05830	Blue
AT1G05835	Blue
AT1G05840	Red
AT1G05850	Turquoise
AT1G05860	Blue
AT1G05870	Blue
AT1G05880	Green
AT1G05890	Red
AT1G05894	Grey
AT1G05900	Turquoise
AT1G05910	Yellow
AT1G05920	Lightyellow
AT1G05930	Lightyellow
AT1G05940	Turquoise
AT1G05950	Blue
AT1G05960	Grey
AT1G05970	Salmon
AT1G05990	Brown
AT1G06000	Yellow
AT1G06002	Grey
AT1G06010	Grey
AT1G06020	Cyan
AT1G06030	Lightyellow
AT1G06040	Turquoise
AT1G06050	Red
AT1G06060	Green
AT1G06070	Cyan
AT1G06080	Blue
AT1G06090	Brown
AT1G06100	Grey
AT1G06110	Grey
AT1G06120	Brown
AT1G06130	Grey
AT1G06135	Green
AT1G06137	Darkgreen
AT1G06140	Yellow
AT1G06148	Red
AT1G06149	Grey
AT1G06150	Royalblue
AT1G06160	Green
AT1G06170	Black
AT1G06180	Yellow
AT1G06190	Purple
AT1G06200	Greenyellow
AT1G06210	Grey
AT1G06220	Yellow
AT1G06225	Brown
AT1G06230	Grey
AT1G06240	Purple
AT1G06250	Black
AT1G06260	Darkgrey
AT1G06265	Black
AT1G06270	Yellow
AT1G06280	Black
AT1G06290	Brown
AT1G06310	Brown
AT1G06320	Brown
AT1G06330	Brown
AT1G06340	Darkturquoise
AT1G06350	Blue
AT1G06360	Purple
AT1G06370	Turquoise
AT1G06380	Yellow
AT1G06390	Grey
AT1G06400	Red
AT1G06410	Grey
AT1G06420	Blue
AT1G06430	Turquoise
AT1G06440	Yellow
AT1G06450	Black
AT1G06460	Turquoise
AT1G06470	Grey
AT1G06475	Grey
AT1G06490	Blue
AT1G06500	Blue
AT1G06510	Turquoise
AT1G06515	Grey
AT1G06520	Salmon
AT1G06530	Greenyellow
AT1G06540	Magenta
AT1G06550	Tan
AT1G06560	Yellow
AT1G06570	Red
AT1G06580	Grey
AT1G06590	Blue
AT1G06620	Red
AT1G06630	Salmon
AT1G06640	Red
AT1G06645	Turquoise
AT1G06650	Turquoise
AT1G06660	Blue
AT1G06670	Yellow
AT1G06680	Turquoise
AT1G06690	Turquoise
AT1G06700	Grey
AT1G06710	Yellow
AT1G06720	Yellow
AT1G06730	Purple
AT1G06750	Magenta
AT1G06760	Greenyellow
AT1G06770	Grey
AT1G06780	Brown
AT1G06790	Yellow
AT1G06800	Grey
AT1G06810	Black
AT1G06820	Purple
AT1G06830	Turquoise
AT1G06840	Brown
AT1G06850	Blue
AT1G06870	Yellow
AT1G06890	Grey
AT1G06900	Yellow
AT1G06910	Blue
AT1G06920	Magenta
AT1G06923	Brown
AT1G06925	Saddlebrown
AT1G06930	Brown
AT1G06950	Purple
AT1G06960	Blue
AT1G06970	Magenta
AT1G06980	Purple
AT1G06990	Black
AT1G07000	Green
AT1G07010	Turquoise
AT1G07020	Grey
AT1G07025	Midnightblue
AT1G07030	Yellow
AT1G07040	Grey
AT1G07050	Turquoise
AT1G07060	Black
AT1G07070	Yellow
AT1G07080	Pink
AT1G07090	Tan
AT1G07110	Turquoise
AT1G07119	Pink
AT1G07120	Pink
AT1G07128	Red
AT1G07130	Red
AT1G07135	Red
AT1G07140	Greenyellow
AT1G07150	Red
AT1G07160	Green
AT1G07170	Grey
AT1G07175	Brown
AT1G07180	Turquoise
AT1G07200	Grey
AT1G07210	Yellow
AT1G07220	Grey
AT1G07230	Red
AT1G07240	Green
AT1G07250	Turquoise
AT1G07260	Brown
AT1G07270	Blue
AT1G07280	Turquoise
AT1G07290	Brown
AT1G07300	Lightgreen
AT1G07310	Red
AT1G07320	Turquoise
AT1G07330	Magenta
AT1G07340	Black
AT1G07350	Grey
AT1G07360	Yellow
AT1G07370	Blue
AT1G07380	Grey
AT1G07390	Green
AT1G07400	Grey
AT1G07410	Lightcyan
AT1G07420	Grey
AT1G07430	Red
AT1G07440	Turquoise
AT1G07450	Turquoise
AT1G07460	Brown
AT1G07470	Green
AT1G07473	Pink
AT1G07476	Pink
AT1G07480	Red
AT1G07485	Purple
AT1G07490	Purple
AT1G07500	Red
AT1G07510	Salmon
AT1G07520	Red
AT1G07530	Red
AT1G07540	Lightcyan
AT1G07550	Brown
AT1G07560	Brown
AT1G07570	Salmon
AT1G07580	Grey
AT1G07590	Lightgreen
AT1G07600	Lightgreen
AT1G07610	Brown
AT1G07615	Yellow
AT1G07620	Green
AT1G07630	Green
AT1G07640	Grey
AT1G07645	Lightcyan
